State,Source.Income,Income.Range,Number.Tax.Fillers,Average.Income
BC,Employment,"Between $50,000 and $99,999",1830,75000
BC,Employment,"Between $50,000 and $99,999",920,75000
BC,Employment,"$100,000 and Above",680,130000
BC,Employment,"$100,000 and Above",500,130000
BC,Investment,"Less than $25,000",30,20000
BC,Investment,"Less than $25,000",130,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $25,000 and $49,999",250,37000
BC,Investment,"Between $50,000 and $99,999",420,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Investment,"$100,000 and Above",300,130000
BC,Pension,"Less than $25,000",1610,20000
BC,Pension,"Less than $25,000",730,20000
BC,Pension,"Between $25,000 and $49,999",1070,37000
BC,Pension,"Between $25,000 and $49,999",1020,37000
BC,Pension,"Between $50,000 and $99,999",290,75000
BC,Pension,"Between $50,000 and $99,999",520,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Pension,"$100,000 and Above",60,130000
BC,Self-employment,"Less than $25,000",0,20000
BC,Self-employment,"Less than $25,000",400,20000
BC,Self-employment,"Between $25,000 and $49,999",250,37000
BC,Self-employment,"Between $50,000 and $99,999",160,75000
BC,Self-employment,"$100,000 and Above",70,130000
BC,Multiple sources of income,"Between $25,000 and $49,999",0,37000
BC,Multiple sources of income,"Between $25,000 and $49,999",0,37000
BC,No income,"Less than $25,000",330,20000
BC,No income,"Less than $25,000",40,20000
BC,Other sources of income,"Less than $25,000",1200,20000
BC,Other sources of income,"Less than $25,000",240,20000
BC,Other sources of income,"Between $25,000 and $49,999",170,37000
BC,Other sources of income,"Between $25,000 and $49,999",130,37000
BC,Other sources of income,"Between $50,000 and $99,999",80,75000
BC,Other sources of income,"Between $50,000 and $99,999",60,75000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Employment,"Less than $25,000",140,20000
BC,Employment,"Less than $25,000",40,20000
BC,Employment,"Between $25,000 and $49,999",120,37000
BC,Employment,"Between $25,000 and $49,999",40,37000
BC,Employment,"Between $50,000 and $99,999",80,75000
BC,Employment,"Between $50,000 and $99,999",30,75000
BC,Employment,"$100,000 and Above",0,130000
BC,Employment,"$100,000 and Above",0,130000
BC,Investment,"Less than $25,000",0,20000
BC,Investment,"Less than $25,000",20,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $25,000 and $49,999",10,37000
BC,Investment,"Between $50,000 and $99,999",0,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Pension,"Less than $25,000",220,20000
BC,Pension,"Less than $25,000",80,20000
BC,Pension,"Between $25,000 and $49,999",120,37000
BC,Pension,"Between $25,000 and $49,999",70,37000
BC,Pension,"Between $50,000 and $99,999",20,75000
BC,Pension,"Between $50,000 and $99,999",30,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Pension,"$100,000 and Above",0,130000
BC,Self-employment,"Less than $25,000",0,20000
BC,Self-employment,"Less than $25,000",50,20000
BC,Self-employment,"Between $25,000 and $49,999",10,37000
BC,Self-employment,"Between $50,000 and $99,999",0,75000
BC,Self-employment,"$100,000 and Above",0,130000
BC,No income,"Less than $25,000",50,20000
BC,No income,"Less than $25,000",0,20000
BC,Other sources of income,"Less than $25,000",140,20000
BC,Other sources of income,"Less than $25,000",40,20000
BC,Other sources of income,"Between $25,000 and $49,999",10,37000
BC,Other sources of income,"Between $25,000 and $49,999",0,37000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Employment,"Less than $25,000",410,20000
BC,Employment,"Less than $25,000",60,20000
BC,Employment,"Between $25,000 and $49,999",400,37000
BC,Employment,"Between $25,000 and $49,999",100,37000
BC,Employment,"Between $50,000 and $99,999",420,75000
BC,Employment,"Between $50,000 and $99,999",110,75000
BC,Employment,"$100,000 and Above",70,130000
BC,Employment,"$100,000 and Above",0,130000
BC,Investment,"Less than $25,000",10,20000
BC,Investment,"Less than $25,000",20,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $50,000 and $99,999",20,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Pension,"Less than $25,000",250,20000
BC,Pension,"Less than $25,000",80,20000
BC,Pension,"Between $25,000 and $49,999",190,37000
BC,Pension,"Between $25,000 and $49,999",110,37000
BC,Pension,"Between $50,000 and $99,999",50,75000
BC,Pension,"Between $50,000 and $99,999",60,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Pension,"$100,000 and Above",0,130000
BC,Self-employment,"Less than $25,000",50,20000
BC,Self-employment,"Between $25,000 and $49,999",10,37000
BC,Self-employment,"Between $50,000 and $99,999",0,75000
BC,Multiple sources of income,"Less than $25,000",0,20000
BC,Multiple sources of income,"Between $50,000 and $99,999",0,75000
BC,No income,"Less than $25,000",60,20000
BC,No income,"Less than $25,000",0,20000
BC,Other sources of income,"Less than $25,000",220,20000
BC,Other sources of income,"Less than $25,000",50,20000
BC,Other sources of income,"Between $25,000 and $49,999",30,37000
BC,Other sources of income,"Between $25,000 and $49,999",20,37000
BC,Other sources of income,"Between $50,000 and $99,999",10,75000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Employment,"Less than $25,000",960,20000
BC,Employment,"Less than $25,000",180,20000
BC,Employment,"Between $25,000 and $49,999",960,37000
BC,Employment,"Between $25,000 and $49,999",320,37000
BC,Employment,"Between $50,000 and $99,999",960,75000
BC,Employment,"Between $50,000 and $99,999",430,75000
BC,Employment,"$100,000 and Above",200,130000
BC,Employment,"$100,000 and Above",190,130000
BC,Investment,"Less than $25,000",30,20000
BC,Investment,"Less than $25,000",90,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $25,000 and $49,999",90,37000
BC,Investment,"Between $50,000 and $99,999",0,75000
BC,Investment,"Between $50,000 and $99,999",110,75000
BC,Investment,"$100,000 and Above",80,130000
BC,Pension,"Less than $25,000",1110,20000
BC,Pension,"Less than $25,000",470,20000
BC,Pension,"Between $25,000 and $49,999",940,37000
BC,Pension,"Between $25,000 and $49,999",710,37000
BC,Pension,"Between $50,000 and $99,999",190,75000
BC,Pension,"Between $50,000 and $99,999",300,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Pension,"$100,000 and Above",30,130000
BC,Self-employment,"Less than $25,000",0,20000
BC,Self-employment,"Less than $25,000",280,20000
BC,Self-employment,"Between $25,000 and $49,999",120,37000
BC,Self-employment,"Between $50,000 and $99,999",50,75000
BC,Self-employment,"$100,000 and Above",30,130000
BC,No income,"Less than $25,000",140,20000
BC,No income,"Less than $25,000",10,20000
BC,Other sources of income,"Less than $25,000",750,20000
BC,Other sources of income,"Less than $25,000",130,20000
BC,Other sources of income,"Between $25,000 and $49,999",90,37000
BC,Other sources of income,"Between $25,000 and $49,999",60,37000
BC,Other sources of income,"Between $50,000 and $99,999",40,75000
BC,Other sources of income,"Between $50,000 and $99,999",40,75000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Other sources of income,"$100,000 and Above",10,130000
BC,Employment,"Less than $25,000",310,20000
BC,Employment,"Less than $25,000",50,20000
BC,Employment,"Between $25,000 and $49,999",160,37000
BC,Employment,"Between $25,000 and $49,999",70,37000
BC,Employment,"Between $50,000 and $99,999",190,75000
BC,Employment,"Between $50,000 and $99,999",70,75000
BC,Employment,"$100,000 and Above",40,130000
BC,Employment,"$100,000 and Above",0,130000
BC,Investment,"Less than $25,000",0,20000
BC,Investment,"Less than $25,000",20,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $50,000 and $99,999",0,75000
BC,Investment,"Between $50,000 and $99,999",0,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Pension,"Less than $25,000",280,20000
BC,Pension,"Less than $25,000",60,20000
BC,Pension,"Between $25,000 and $49,999",100,37000
BC,Pension,"Between $25,000 and $49,999",70,37000
BC,Pension,"Between $50,000 and $99,999",30,75000
BC,Pension,"Between $50,000 and $99,999",30,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Pension,"$100,000 and Above",0,130000
BC,Self-employment,"Less than $25,000",30,20000
BC,Self-employment,"Between $25,000 and $49,999",20,37000
BC,Self-employment,"Between $50,000 and $99,999",20,75000
BC,Self-employment,"$100,000 and Above",0,130000
BC,No income,"Less than $25,000",90,20000
BC,No income,"Less than $25,000",0,20000
BC,Other sources of income,"Less than $25,000",340,20000
BC,Other sources of income,"Less than $25,000",30,20000
BC,Other sources of income,"Between $25,000 and $49,999",10,37000
BC,Other sources of income,"Between $25,000 and $49,999",0,37000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Employment,"Less than $25,000",570,20000
BC,Employment,"Less than $25,000",60,20000
BC,Employment,"Between $25,000 and $49,999",680,37000
BC,Employment,"Between $25,000 and $49,999",140,37000
BC,Employment,"Between $50,000 and $99,999",940,75000
BC,Employment,"Between $50,000 and $99,999",210,75000
BC,Employment,"$100,000 and Above",250,130000
BC,Employment,"$100,000 and Above",0,130000
BC,Investment,"Less than $25,000",10,20000
BC,Investment,"Less than $25,000",10,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $50,000 and $99,999",20,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Pension,"Less than $25,000",270,20000
BC,Pension,"Less than $25,000",110,20000
BC,Pension,"Between $25,000 and $49,999",200,37000
BC,Pension,"Between $25,000 and $49,999",90,37000
BC,Pension,"Between $50,000 and $99,999",70,75000
BC,Pension,"Between $50,000 and $99,999",60,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Pension,"$100,000 and Above",0,130000
BC,Self-employment,"Less than $25,000",60,20000
BC,Self-employment,"Between $25,000 and $49,999",10,37000
BC,Self-employment,"Between $50,000 and $99,999",10,75000
BC,Self-employment,"$100,000 and Above",0,130000
BC,No income,"Less than $25,000",130,20000
BC,No income,"Less than $25,000",0,20000
BC,Other sources of income,"Less than $25,000",290,20000
BC,Other sources of income,"Less than $25,000",40,20000
BC,Other sources of income,"Between $25,000 and $49,999",50,37000
BC,Other sources of income,"Between $25,000 and $49,999",20,37000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Employment,"Less than $25,000",980,20000
BC,Employment,"Less than $25,000",150,20000
BC,Employment,"Between $25,000 and $49,999",860,37000
BC,Employment,"Between $25,000 and $49,999",300,37000
BC,Employment,"Between $50,000 and $99,999",1210,75000
BC,Employment,"Between $50,000 and $99,999",500,75000
BC,Employment,"$100,000 and Above",330,130000
BC,Employment,"$100,000 and Above",0,130000
BC,Investment,"Less than $25,000",20,20000
BC,Investment,"Less than $25,000",50,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $25,000 and $49,999",60,37000
BC,Investment,"Between $50,000 and $99,999",0,75000
BC,Investment,"Between $50,000 and $99,999",80,75000
BC,Investment,"$100,000 and Above",80,130000
BC,Pension,"Less than $25,000",710,20000
BC,Pension,"Less than $25,000",300,20000
BC,Pension,"Between $25,000 and $49,999",370,37000
BC,Pension,"Between $25,000 and $49,999",310,37000
BC,Pension,"Between $50,000 and $99,999",90,75000
BC,Pension,"Between $50,000 and $99,999",150,75000
BC,Pension,"$100,000 and Above",20,130000
BC,Self-employment,"Less than $25,000",150,20000
BC,Self-employment,"Between $25,000 and $49,999",100,37000
BC,Self-employment,"Between $50,000 and $99,999",90,75000
BC,Self-employment,"$100,000 and Above",40,130000
BC,No income,"Less than $25,000",220,20000
BC,No income,"Less than $25,000",0,20000
BC,Other sources of income,"Less than $25,000",540,20000
BC,Other sources of income,"Less than $25,000",90,20000
BC,Other sources of income,"Between $25,000 and $49,999",60,37000
BC,Other sources of income,"Between $25,000 and $49,999",40,37000
BC,Other sources of income,"Between $50,000 and $99,999",20,75000
BC,Other sources of income,"Between $50,000 and $99,999",10,75000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Employment,"Less than $25,000",230,20000
BC,Employment,"Less than $25,000",40,20000
BC,Employment,"Between $25,000 and $49,999",120,37000
BC,Employment,"Between $25,000 and $49,999",40,37000
BC,Employment,"Between $50,000 and $99,999",160,75000
BC,Employment,"Between $50,000 and $99,999",60,75000
BC,Employment,"$100,000 and Above",0,130000
BC,Employment,"$100,000 and Above",40,130000
BC,Investment,"Less than $25,000",10,20000
BC,Investment,"Less than $25,000",10,20000
BC,Investment,"Between $25,000 and $49,999",10,37000
BC,Investment,"Between $50,000 and $99,999",0,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Pension,"Less than $25,000",260,20000
BC,Pension,"Less than $25,000",90,20000
BC,Pension,"Between $25,000 and $49,999",110,37000
BC,Pension,"Between $25,000 and $49,999",60,37000
BC,Pension,"Between $50,000 and $99,999",20,75000
BC,Pension,"Between $50,000 and $99,999",20,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Pension,"$100,000 and Above",0,130000
BC,Self-employment,"Less than $25,000",0,20000
BC,Self-employment,"Less than $25,000",30,20000
BC,Self-employment,"Between $25,000 and $49,999",0,37000
BC,Self-employment,"Between $25,000 and $49,999",10,37000
BC,Self-employment,"Between $50,000 and $99,999",0,75000
BC,Self-employment,"$100,000 and Above",0,130000
BC,No income,"Less than $25,000",50,20000
BC,No income,"Less than $25,000",0,20000
BC,Other sources of income,"Less than $25,000",150,20000
BC,Other sources of income,"Less than $25,000",30,20000
BC,Other sources of income,"Between $25,000 and $49,999",10,37000
BC,Other sources of income,"Between $25,000 and $49,999",10,37000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Employment,"Less than $25,000",530,20000
BC,Employment,"Less than $25,000",70,20000
BC,Employment,"Between $25,000 and $49,999",480,37000
BC,Employment,"Between $25,000 and $49,999",90,37000
BC,Employment,"Between $50,000 and $99,999",730,75000
BC,Employment,"Between $50,000 and $99,999",190,75000
BC,Employment,"$100,000 and Above",160,130000
BC,Employment,"$100,000 and Above",0,130000
BC,Investment,"Less than $25,000",0,20000
BC,Investment,"Less than $25,000",0,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $50,000 and $99,999",0,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Pension,"Less than $25,000",310,20000
BC,Pension,"Less than $25,000",90,20000
BC,Pension,"Between $25,000 and $49,999",200,37000
BC,Pension,"Between $25,000 and $49,999",90,37000
BC,Pension,"Between $50,000 and $99,999",60,75000
BC,Pension,"Between $50,000 and $99,999",40,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Self-employment,"Less than $25,000",50,20000
BC,Self-employment,"Between $25,000 and $49,999",20,37000
BC,Self-employment,"Between $50,000 and $99,999",0,75000
BC,Self-employment,"$100,000 and Above",0,130000
BC,No income,"Less than $25,000",100,20000
BC,No income,"Less than $25,000",0,20000
BC,Other sources of income,"Less than $25,000",270,20000
BC,Other sources of income,"Less than $25,000",30,20000
BC,Other sources of income,"Between $25,000 and $49,999",40,37000
BC,Other sources of income,"Between $25,000 and $49,999",10,37000
BC,Other sources of income,"Between $50,000 and $99,999",10,75000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"$100,000 and Above",10,130000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Employment,"Less than $25,000",1490,20000
BC,Employment,"Less than $25,000",220,20000
BC,Employment,"Between $25,000 and $49,999",1180,37000
BC,Employment,"Between $25,000 and $49,999",400,37000
BC,Employment,"Between $50,000 and $99,999",1560,75000
BC,Employment,"Between $50,000 and $99,999",670,75000
BC,Employment,"$100,000 and Above",490,130000
BC,Employment,"$100,000 and Above",0,130000
BC,Investment,"Less than $25,000",30,20000
BC,Investment,"Less than $25,000",80,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $25,000 and $49,999",110,37000
BC,Investment,"Between $50,000 and $99,999",140,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Investment,"$100,000 and Above",110,130000
BC,Pension,"Less than $25,000",1100,20000
BC,Pension,"Less than $25,000",510,20000
BC,Pension,"Between $25,000 and $49,999",590,37000
BC,Pension,"Between $25,000 and $49,999",450,37000
BC,Pension,"Between $50,000 and $99,999",110,75000
BC,Pension,"Between $50,000 and $99,999",170,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Pension,"$100,000 and Above",10,130000
BC,Self-employment,"Less than $25,000",260,20000
BC,Self-employment,"Between $25,000 and $49,999",110,37000
BC,Self-employment,"Between $50,000 and $99,999",80,75000
BC,Self-employment,"$100,000 and Above",30,130000
BC,No income,"Less than $25,000",280,20000
BC,No income,"Less than $25,000",20,20000
BC,Other sources of income,"Less than $25,000",930,20000
BC,Other sources of income,"Less than $25,000",140,20000
BC,Other sources of income,"Between $25,000 and $49,999",100,37000
BC,Other sources of income,"Between $25,000 and $49,999",50,37000
BC,Other sources of income,"Between $50,000 and $99,999",30,75000
BC,Other sources of income,"Between $50,000 and $99,999",30,75000
BC,Other sources of income,"$100,000 and Above",40,130000
BC,Other sources of income,"$100,000 and Above",30,130000
BC,Employment,"Less than $25,000",200,20000
BC,Employment,"Less than $25,000",20,20000
BC,Employment,"Between $25,000 and $49,999",130,37000
BC,Employment,"Between $25,000 and $49,999",30,37000
BC,Employment,"Between $50,000 and $99,999",110,75000
BC,Employment,"Between $50,000 and $99,999",30,75000
BC,Employment,"$100,000 and Above",40,130000
BC,Employment,"$100,000 and Above",0,130000
BC,Investment,"Less than $25,000",0,20000
BC,Investment,"Less than $25,000",0,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $50,000 and $99,999",0,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Pension,"Less than $25,000",150,20000
BC,Pension,"Less than $25,000",50,20000
BC,Pension,"Between $25,000 and $49,999",60,37000
BC,Pension,"Between $25,000 and $49,999",20,37000
BC,Pension,"Between $50,000 and $99,999",20,75000
BC,Pension,"Between $50,000 and $99,999",20,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Self-employment,"Less than $25,000",0,20000
BC,Self-employment,"Less than $25,000",30,20000
BC,Self-employment,"Between $25,000 and $49,999",20,37000
BC,Self-employment,"Between $50,000 and $99,999",0,75000
BC,Self-employment,"$100,000 and Above",0,130000
BC,Multiple sources of income,"Less than $25,000",0,20000
BC,No income,"Less than $25,000",60,20000
BC,No income,"Less than $25,000",0,20000
BC,Other sources of income,"Less than $25,000",260,20000
BC,Other sources of income,"Less than $25,000",20,20000
BC,Other sources of income,"Between $25,000 and $49,999",0,37000
BC,Other sources of income,"Between $25,000 and $49,999",0,37000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Employment,"Less than $25,000",320,20000
BC,Employment,"Less than $25,000",40,20000
BC,Employment,"Between $25,000 and $49,999",330,37000
BC,Employment,"Between $25,000 and $49,999",70,37000
BC,Employment,"Between $50,000 and $99,999",430,75000
BC,Employment,"Between $50,000 and $99,999",140,75000
BC,Employment,"$100,000 and Above",150,130000
BC,Employment,"$100,000 and Above",0,130000
BC,Investment,"Less than $25,000",0,20000
BC,Investment,"Less than $25,000",0,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $50,000 and $99,999",0,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Pension,"Less than $25,000",100,20000
BC,Pension,"Less than $25,000",30,20000
BC,Pension,"Between $25,000 and $49,999",70,37000
BC,Pension,"Between $25,000 and $49,999",40,37000
BC,Pension,"Between $50,000 and $99,999",20,75000
BC,Pension,"Between $50,000 and $99,999",10,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Pension,"$100,000 and Above",0,130000
BC,Self-employment,"Less than $25,000",30,20000
BC,Self-employment,"Between $25,000 and $49,999",10,37000
BC,Self-employment,"Between $50,000 and $99,999",0,75000
BC,Self-employment,"$100,000 and Above",0,130000
BC,Multiple sources of income,"Less than $25,000",0,20000
BC,No income,"Less than $25,000",70,20000
BC,No income,"Less than $25,000",0,20000
BC,Other sources of income,"Less than $25,000",190,20000
BC,Other sources of income,"Less than $25,000",20,20000
BC,Other sources of income,"Between $25,000 and $49,999",20,37000
BC,Other sources of income,"Between $25,000 and $49,999",0,37000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Employment,"Less than $25,000",830,20000
BC,Employment,"Less than $25,000",90,20000
BC,Employment,"Between $25,000 and $49,999",680,37000
BC,Employment,"Between $25,000 and $49,999",170,37000
BC,Employment,"Between $50,000 and $99,999",600,75000
BC,Employment,"Between $50,000 and $99,999",350,75000
BC,Employment,"$100,000 and Above",240,130000
BC,Employment,"$100,000 and Above",210,130000
BC,Investment,"Less than $25,000",10,20000
BC,Investment,"Less than $25,000",30,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $25,000 and $49,999",30,37000
BC,Investment,"Between $50,000 and $99,999",0,75000
BC,Investment,"Between $50,000 and $99,999",60,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Investment,"$100,000 and Above",50,130000
BC,Pension,"Less than $25,000",390,20000
BC,Pension,"Less than $25,000",140,20000
BC,Pension,"Between $25,000 and $49,999",210,37000
BC,Pension,"Between $25,000 and $49,999",160,37000
BC,Pension,"Between $50,000 and $99,999",50,75000
BC,Pension,"Between $50,000 and $99,999",80,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Pension,"$100,000 and Above",10,130000
BC,Self-employment,"Less than $25,000",150,20000
BC,Self-employment,"Between $25,000 and $49,999",90,37000
BC,Self-employment,"Between $50,000 and $99,999",50,75000
BC,Self-employment,"$100,000 and Above",20,130000
BC,No income,"Less than $25,000",100,20000
BC,No income,"Less than $25,000",10,20000
BC,Other sources of income,"Less than $25,000",360,20000
BC,Other sources of income,"Less than $25,000",70,20000
BC,Other sources of income,"Between $25,000 and $49,999",50,37000
BC,Other sources of income,"Between $25,000 and $49,999",30,37000
BC,Other sources of income,"Between $50,000 and $99,999",20,75000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Employment,"Less than $25,000",260,20000
BC,Employment,"Less than $25,000",30,20000
BC,Employment,"Between $25,000 and $49,999",220,37000
BC,Employment,"Between $25,000 and $49,999",50,37000
BC,Employment,"Between $50,000 and $99,999",220,75000
BC,Employment,"Between $50,000 and $99,999",100,75000
BC,Employment,"$100,000 and Above",50,130000
BC,Employment,"$100,000 and Above",0,130000
BC,Investment,"Less than $25,000",0,20000
BC,Investment,"Less than $25,000",10,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $50,000 and $99,999",0,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Pension,"Less than $25,000",220,20000
BC,Pension,"Less than $25,000",40,20000
BC,Pension,"Between $25,000 and $49,999",110,37000
BC,Pension,"Between $25,000 and $49,999",60,37000
BC,Pension,"Between $50,000 and $99,999",30,75000
BC,Pension,"Between $50,000 and $99,999",20,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Pension,"$100,000 and Above",0,130000
BC,Self-employment,"Less than $25,000",0,20000
BC,Self-employment,"Less than $25,000",20,20000
BC,Self-employment,"Between $25,000 and $49,999",10,37000
BC,Self-employment,"Between $50,000 and $99,999",0,75000
BC,Self-employment,"$100,000 and Above",0,130000
BC,No income,"Less than $25,000",40,20000
BC,No income,"Less than $25,000",0,20000
BC,Other sources of income,"Less than $25,000",140,20000
BC,Other sources of income,"Less than $25,000",20,20000
BC,Other sources of income,"Between $25,000 and $49,999",10,37000
BC,Other sources of income,"Between $25,000 and $49,999",0,37000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Employment,"Less than $25,000",590,20000
BC,Employment,"Less than $25,000",50,20000
BC,Employment,"Between $25,000 and $49,999",680,37000
BC,Employment,"Between $25,000 and $49,999",130,37000
BC,Employment,"Between $50,000 and $99,999",850,75000
BC,Employment,"Between $50,000 and $99,999",230,75000
BC,Employment,"$100,000 and Above",220,130000
BC,Employment,"$100,000 and Above",0,130000
BC,Investment,"Less than $25,000",0,20000
BC,Investment,"Less than $25,000",10,20000
BC,Investment,"Between $25,000 and $49,999",0,37000
BC,Investment,"Between $50,000 and $99,999",10,75000
BC,Investment,"$100,000 and Above",0,130000
BC,Pension,"Less than $25,000",240,20000
BC,Pension,"Less than $25,000",60,20000
BC,Pension,"Between $25,000 and $49,999",130,37000
BC,Pension,"Between $25,000 and $49,999",70,37000
BC,Pension,"Between $50,000 and $99,999",60,75000
BC,Pension,"Between $50,000 and $99,999",50,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Self-employment,"Less than $25,000",30,20000
BC,Self-employment,"Between $25,000 and $49,999",10,37000
BC,Self-employment,"Between $50,000 and $99,999",10,75000
BC,Self-employment,"$100,000 and Above",0,130000
BC,No income,"Less than $25,000",60,20000
BC,No income,"Less than $25,000",0,20000
BC,Other sources of income,"Less than $25,000",230,20000
BC,Other sources of income,"Less than $25,000",20,20000
BC,Other sources of income,"Between $25,000 and $49,999",30,37000
BC,Other sources of income,"Between $25,000 and $49,999",10,37000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"Between $50,000 and $99,999",0,75000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Other sources of income,"$100,000 and Above",0,130000
BC,Employment,"Less than $25,000",1110,20000
BC,Employment,"Less than $25,000",130,20000
BC,Employment,"Between $25,000 and $49,999",1100,37000
BC,Employment,"Between $25,000 and $49,999",290,37000
BC,Employment,"Between $50,000 and $99,999",1010,75000
BC,Employment,"Between $50,000 and $99,999",490,75000
BC,Employment,"$100,000 and Above",360,130000
BC,Employment,"$100,000 and Above",0,130000
BC,Investment,"Less than $25,000",20,20000
BC,Investment,"Less than $25,000",40,20000
BC,Investment,"Between $25,000 and $49,999",40,37000
BC,Investment,"Between $50,000 and $99,999",0,75000
BC,Investment,"Between $50,000 and $99,999",110,75000
BC,Investment,"$100,000 and Above",110,130000
BC,Pension,"Less than $25,000",540,20000
BC,Pension,"Less than $25,000",190,20000
BC,Pension,"Between $25,000 and $49,999",340,37000
BC,Pension,"Between $25,000 and $49,999",230,37000
BC,Pension,"Between $50,000 and $99,999",80,75000
BC,Pension,"Between $50,000 and $99,999",130,75000
BC,Pension,"$100,000 and Above",0,130000
BC,Pension,"$100,000 and Above",10,130000
BC,Self-employment,"Less than $25,000",0,20000
BC,Self-employment,"Less than $25,000",110,20000
BC,Self-employment,"Between $25,000 and $49,999",70,37000
BC,Self-employment,"Between $50,000 and $99,999",80,75000
BC,Self-employment,"$100,000 and Above",40,130000
BC,No income,"Less than $25,000",190,20000
BC,No income,"Less than $25,000",20,20000
BC,Other sources of income,"Less than $25,000",680,20000
BC,Other sources of income,"Less than $25,000",80,20000
BC,Other sources of income,"Between $25,000 and $49,999",80,37000
BC,Other sources of income,"Between $25,000 and $49,999",40,37000
